Year;DOY;millisecs;B;Bx;By;Bz;Btheta;Bphi;Vx;Vy;Vz;Np
2005;163;10988520;5.65;4.47;-2.84;-1.91;-19.85;327.58;-302.3;-23.0;-21.6;27.4
2005;163;11085742;5.62;4.33;-3.43;-0.94;-9.68;321.61;-301.9;-24.2;-20.3;27.0
2005;163;11184519;5.58;4.03;-3.82;-0.52;-5.39;316.47;-302.1;-27.2;-18.2;27.1
2005;163;11280256;6.01;5.14;-2.76;-1.36;-13.09;331.80;-300.2;-26.5;-18.2;25.4
2005;163;11381390;6.18;4.87;-2.27;-2.74;-26.99;335.04;-303.5;-22.8;-21.7;25.3
2005;163;11480167;6.19;4.87;-2.80;-2.53;-24.20;330.13;-301.1;-25.5;-22.6;25.2
2005;163;11572028;5.80;4.09;-3.58;-1.96;-19.82;318.79;-302.0;-26.9;-20.7;25.7
2005;163;11669285;5.95;4.72;-3.02;-1.87;-18.45;327.43;-302.1;-26.2;-21.2;26.4
2005;163;11761983;6.07;5.04;-2.90;-1.59;-15.31;330.04;-303.3;-28.8;-19.3;25.9
2005;163;11869195;6.25;5.53;-2.10;-1.96;-18.32;339.21;-300.4;-25.2;-20.9;25.0
2005;163;11964094;5.98;5.26;-2.14;-1.88;-18.35;337.87;-298.8;-27.4;-21.5;25.1
2005;163;12062873;5.95;5.32;-1.88;-1.89;-18.47;340.56;-299.0;-24.8;-19.7;24.7
2005;163;12161649;5.95;5.33;-1.72;-1.99;-19.56;342.14;-299.0;-24.4;-21.8;25.5
2005;163;12258907;5.95;5.39;-1.80;-1.76;-17.20;341.57;-299.0;-24.8;-21.3;25.2
2005;163;12356163;5.85;5.22;-1.89;-1.85;-18.44;340.06;-297.8;-24.4;-21.1;25.9
2005;163;12453419;5.86;5.11;-2.10;-1.94;-19.31;337.66;-298.4;-24.9;-20.8;25.7
2005;163;12553034;5.81;5.04;-2.22;-1.86;-18.66;336.25;-297.2;-25.8;-23.5;26.1
2005;163;12647934;5.80;5.04;-2.42;-1.53;-15.34;334.34;-297.7;-24.9;-20.4;26.7
2005;163;12738430;5.88;5.11;-2.46;-1.52;-15.00;334.30;-296.7;-26.2;-22.3;27.3
2005;163;12842450;5.91;5.07;-2.65;-1.48;-14.49;332.42;-298.8;-27.4;-21.4;25.6
2005;163;12939706;5.91;5.06;-2.93;-0.58;-5.71;329.88;-298.3;-27.5;-20.0;25.5
2005;163;13040002;5.77;5.07;-1.69;-1.46;-15.29;341.59;-299.8;-26.3;-19.9;25.2
2005;163;13135740;5.65;5.04;-0.85;-2.39;-25.11;350.45;-301.0;-23.4;-22.2;26.0
2005;163;13228438;5.42;4.82;-0.90;-2.32;-25.29;349.37;-301.8;-26.1;-20.1;27.2
2005;163;13328052;5.81;5.17;-1.06;-2.43;-24.74;348.39;-299.3;-26.7;-23.8;25.5
2005;163;13425991;5.58;4.73;-0.62;-2.83;-30.71;352.58;-301.9;-23.7;-20.7;27.5
2005;163;13520208;5.46;4.51;-1.19;-2.83;-31.26;345.23;-301.7;-24.3;-21.5;28.0
2005;163;13617465;5.58;4.63;-1.92;-2.42;-25.74;337.43;-302.4;-25.7;-19.9;27.3
2005;163;13708646;5.60;4.72;-1.97;-2.25;-23.76;337.28;-301.1;-26.6;-20.9;26.8
2005;163;13816540;5.42;3.35;-4.10;-0.98;-10.45;309.23;-305.8;-31.6;-15.4;28.8
